title,company,location,salary_range,apply_url,source,posted_date,first_seen_date,job_key
Staff AI Engineer (£120k-£150k + Equity) at Salesforce Ventures Backed Agentic AI Startup,Jack & Jill,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/staff-ai-engineer-%C2%A3120k-%C2%A3150k-%2B-equity-at-salesforce-ventures-backed-agentic-ai-startup-at-jack-jill-4405068715,LinkedIn,1 week ago,2026-05-20T17:15:53.255074,staff ai engineer (£120k-£150k + equity) at salesforce ventures backed agentic ai startup|jack & jill
Senior Data Engineer - Harrington Starr,Harrington Starr,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/senior-data-engineer-at-harrington-starr-4400201191,LinkedIn,3 days ago,2026-05-20T17:15:53.255095,senior data engineer - harrington starr|harrington starr
Oliver Bernard hiring Lead Data Engineer - London (Hybrid),Oliver Bernard,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/lead-data-engineer-london-hybrid-%C2%A390k-%C2%A3120k-at-oliver-bernard-4402867859,LinkedIn,1 week ago,2026-05-20T17:15:53.255106,oliver bernard hiring lead data engineer - london (hybrid)|oliver bernard
Senior Data Engineer - COS,COS,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/senior-data-engineer-at-cos-4399614103,LinkedIn,1 week ago,2026-05-20T17:15:53.255115,senior data engineer - cos|cos
Hays hiring Data Engineer in City Of London,Hays,"City of London, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/data-engineer-at-hays-4402718445,LinkedIn,6 days ago,2026-05-20T17:15:53.255123,hays hiring data engineer in city of london|hays
Oliver Bernard hiring Head of Data Engineering,Oliver Bernard,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/head-of-data-engineering-at-oliver-bernard-4406088547,LinkedIn,6 days ago,2026-05-20T17:15:53.255131,oliver bernard hiring head of data engineering|oliver bernard
"DoiT hiring Senior Cloud Architect, ML/AI",DoiT,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/senior-cloud-architect-ml-ai-at-doit-4399388070,LinkedIn,1 week ago,2026-05-20T17:15:53.255140,"doit hiring senior cloud architect, ml/ai|doit"
Cloud Solutions Architect (Remote) - Talent Flow,Talent Flow,United Kingdom,"£120,000 - £150,000",https://ie.linkedin.com/jobs/view/cloud-solutions-architect-remote-at-talent-flow-4342783301,LinkedIn,4 days ago,2026-05-20T17:15:53.255152,cloud solutions architect (remote) - talent flow|talent flow
N Consulting Global hiring Data / Solutions Architect,N Consulting Global,"London Area, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/data-solutions-architect-at-n-consulting-global-4410021153,LinkedIn,5 days ago,2026-05-20T17:15:53.255161,n consulting global hiring data / solutions architect|n consulting global
ZEREN hiring Lead Architect,ZEREN,United Kingdom,"£120,000 - £150,000",https://uk.linkedin.com/jobs/view/lead-architect-at-zeren-4399154688,LinkedIn,1 week ago,2026-05-20T17:15:53.255171,zeren hiring lead architect|zeren
CGI hiring Solutions Architect,CGI,"London, England, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/solutions-architect-at-cgi-4364803102,LinkedIn,1 week ago,2026-05-20T17:15:53.255179,cgi hiring solutions architect|cgi
Bestman Solutions hiring Solutions Architect,Bestman Solutions,"London Area, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/solutions-architect-at-bestman-solutions-4407377848,LinkedIn,3 days ago,2026-05-20T17:15:53.255186,bestman solutions hiring solutions architect|bestman solutions
Channel 4 hiring Lead Solutions Architect,Channel 4,"England, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/lead-solutions-architect-at-channel-4-4410169205,LinkedIn,6 days ago,2026-05-20T17:15:53.255194,channel 4 hiring lead solutions architect|channel 4
Ampstek hiring Azure Solutions Architect,Ampstek,"London Area, United Kingdom","£120,000 - £150,000",https://uk.linkedin.com/jobs/view/azure-solutions-architect-at-ampstek-4409355560,LinkedIn,1 week ago,2026-05-20T17:15:53.255203,ampstek hiring azure solutions architect|ampstek
